순번,설치주소,설치위치,설치년도,설치형상,관리부서
190,충청남도 천안시 동남구 성남면 대화리 315-3,생활권공원,,파고라(4개),공원관리1팀
191,충청남도 천안시 동남구 풍세면 용정리 989,솔모랭이공원(6호공원),,파고라(2개),공원관리1팀
192,충청남도 천안시 동남구 원성동 244-8,문성소공원,2021,파고라(2개),공원관리1팀
193,충청남도 천안시 동남구 신방동 719,신방쉼터,,정자(2개),공원관리1팀
194,충청남도 천안시 동남구 신방동 719,신방쉼터,,파고라(10개),공원관리1팀
195,충청남도 천안시 동남구 구성동 435-1,구성1공원,,정자(1개),공원관리1팀
196,충청남도 천안시 동남구 목천읍 남화리 61-1일원,광복의 동산,,정자(1개),공원관리1팀
197,충청남도 천안시 동남구 목천읍 동평리 45-2 일원,보은의 동산,,정자(1개),공원관리1팀
198,충청남도 천안시 동남구 용곡동 498 일원,신방체육관 녹색쉼터,,정자(1개),공원관리1팀
199,충청남도 천안시 동남구 신부동 124 일원,도솔광장,,정자(7개),공원관리1팀
200,충청남도 천안시 동남구 신부동 124 일원,도솔광장,,파고라(1개),공원관리1팀
201,충청남도 천안시 동남구 안서동 526-153,안서1공원,2024,파고라(3개),공원관리1팀
202,충청남도 천안시 서북구 쌍용동 산84번지,쌍용공원 ,2007,정자(1개),공원관리2팀
203,충청남도 천안시 서북구 쌍용동 산84번지,쌍용공원 ,2007,파고라(4개),공원관리2팀
204,충청남도 천안시 서북구 두정동 899번지,백석2공원,,파고라(1개),공원관리2팀
205,충청남도 천안시 서북구 두정동 397-1번지,두정공원 ,,정자(1개),공원관리2팀
206,충청남도 천안시 서북구 성정동 1282번지,성정(청사)공원,,파고라(5개),공원관리2팀
207,충청남도 천안시 서북구 쌍용동 1563번지,방아다리공원 ,,정자(1개),공원관리2팀
208,충청남도 천안시 서북구 두정동 985번지,북부제1공원,,파고라(1개),공원관리2팀
209,충청남도 천안시 서북구 직산읍 삼은리 507번지,테크노파크공원,2003,파고라(2개),공원관리2팀
210,충청남도 천안시 서북구 직산읍 삼은리 501번지,직산삼은공원,2001,파고라(3개),공원관리2팀
211,충청남도 천안시 서북구 직산읍 모시리 292번지,제1호근린공원,2004,파고라(2개),공원관리2팀
212,충청남도 천안시 서북구 직산읍 모시리 305번지,제2호근린공원,2004,파고라(2개),공원관리2팀
213,충청남도 천안시 서북구 직산읍 신갈리 244번지,제4호근린공원,2004,파고라(3개),공원관리2팀
214,충청남도 천안시 서북구 직산읍 모시리 274번지,제5호근린공원,2004,파고라(2개),공원관리2팀
215,충청남도 천안시 서북구 백석동 1071번지,유통단지공원,2005,파고라(1개),공원관리2팀
216,충청남도 천안시 서북구 차암동 547번지,차암공원 ,2009,파고라(4개),공원관리2팀
217,충청남도 천안시 서북구 성환읍 성월리 93-28번지,성환4공원,,파고라(2개),공원관리2팀
218,충청남도 천안시 서북구 성성동 829번지 ,성성1지구공원,2018,파고라(3개),공원관리2팀
219,충청남도 천안시 서북구 성성동 711번지,성성3지구공원,2018,파고라(4개),공원관리2팀
220,충청남도 천안시 서북구 불당동 743번지,불당2공원,2017,정자(1개),공원관리2팀
221,충청남도 천안시 서북구 불당동 1282번지,불당4공원 ,2005,파고라(1개),공원관리2팀
222,충청남도 천안시 서북구 불당동 1451번지,불당6공원,2010,파고라(1개),공원관리2팀
223,충청남도 천안시 서북구 불당동 815번지,쌍불공원,,정자(2개),공원관리2팀
224,충청남도 천안시 서북구 불당동 859번지,천변공원,,파고라(4개),공원관리2팀
225,충청남도 천안시 서북구 두정동 238번지,정담은공원,2009,파고라(1개),공원관리2팀
226,충청남도 천안시 서북구 두정동 2046번지,두정8공원,2011,파고라(1개),공원관리2팀
227,충청남도 천안시 서북구 두정동 1205번지,행복공원,2002,파고라(4개),공원관리2팀
228,충청남도 천안시 서북구 두정동 1696번지,산새공원,2002,파고라(1개),공원관리2팀
229,충청남도 천안시 서북구 부대동 1067번지,무당벌레공원,2021,파고라(2개),공원관리2팀
230,충청남도 천안시 서북구 부대동 1035번지,잠자리공원,2015,파고라(3개),공원관리2팀
231,충청남도 천안시 서북구 두정동 1560번지,부대2공원,2002,파고라(2개),공원관리2팀
232,충청남도 천안시 서북구 두정동 869번지,원두정먹거리공원,2002,파고라(1개),공원관리2팀
233,충청남도 천안시 서북구 두정동 681번지,두정오성공원,2002,파고라(1개),공원관리2팀
234,충청남도 천안시 서북구 두정동 615번지,말우물공원,2002,파고라(2개),공원관리2팀
235,충청남도 천안시 서북구 차암동 495번지,차암밤개울공원,2002,파고라(2개),공원관리2팀
236,충청남도 천안시 서북구 성성동 791번지,성성4지구어린이공원,2018,파고라(2개),공원관리2팀
237,충청남도 천안시 서북구 성성동 976번지,성성2지구어린이공원,,파고라(1개),공원관리2팀
238,충청남도 천안시 서북구 성정동 694-8번지,별빛공원,,파고라(2개),공원관리2팀
239,충청남도 천안시 서북구 성정동 715-21번지,성정12길공원,,파고라(1개),공원관리2팀
240,충청남도 천안시 서북구 성정동 737-4번지,양지길시장공원,,파고라(1개),공원관리2팀
241,충청남도 천안시 서북구 성정동 124-22번지,선영9길공원,,파고라(2개),공원관리2팀
242,충청남도 천안시 서북구 성정동 637번지,인쇄창공원,,파고라(1개),공원관리2팀
243,충청남도 천안시 서북구 성정동 626-3번지,서부공원,,파고라(1개),공원관리2팀
244,충청남도 천안시 서북구 성정동 646-2번지,푸르내공원,,파고라(1개),공원관리2팀
245,충청남도 천안시 서북구 성정동 657-3번지,목련공원,,파고라(1개),공원관리2팀
246,충청남도 천안시 서북구 성정동 673-6번지,꽃구름공원,,파고라(1개),공원관리2팀
247,충청남도 천안시 서북구 성정동 691번지,구름공원,,파고라(2개),공원관리2팀
248,충청남도 천안시 서북구 성정동 436-10번지,장수공원,,파고라(2개),공원관리2팀
249,충청남도 천안시 서북구 성정동 844번지,도원공원,,파고라(1개),공원관리2팀
250,충청남도 천안시 서북구 성정동 955번지,안식의공원,,파고라(1개),공원관리2팀
251,충청남도 천안시 서북구 성정동 1180번지,고우니공원,,파고라(1개),공원관리2팀
252,충청남도 천안시 서북구 성정동 1569번지,두정4공원,2019,파고라(2개),공원관리2팀
253,충청남도 천안시 서북구 쌍용동 847번지,개나리공원,,파고라(1개),공원관리2팀
254,충청남도 천안시 서북구 쌍용동 992번지,칸나공원,,팔각정(1개),공원관리2팀
255,충청남도 천안시 서북구 쌍용동 1188번지,사랑공원,,파고라(2개),공원관리2팀
256,충청남도 천안시 서북구 쌍용동 388-18번지,무궁화공원,,파고라(2개),공원관리2팀
257,충청남도 천안시 서북구 쌍용동 890번지,비둘기공원,,파고라(2개),공원관리2팀
258,충청남도 천안시 서북구 쌍용동 1133번지,으뜸공원,,파고라(1개),공원관리2팀
